년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-22,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,2725,17,132,148646,0,21973,63814
Jan-22,AAL,AA,아메리칸항공,국제,DFW,도착,부정기,화물,0,0,0,394752,0,12163,0
Jan-22,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,3703,26,107,229536,0,18442,86073
Jan-22,AAL,AA,아메리칸항공,국제,DFW,출발,부정기,화물,0,0,0,185997,0,5618,0
Jan-22,AAL,AA,아메리칸항공,국제,LAX,도착,부정기,화물,0,0,0,436208,0,53132,0
Jan-22,AAL,AA,아메리칸항공,국제,PVG,출발,부정기,화물,0,0,0,409138,0,0,0
Jan-22,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,175,2,0,0,0,0,1120
Jan-22,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,38,1,0,0,0,0,807
Jan-22,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,54,1,14,543,328,0,2260
Jan-22,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,388628,135758,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ANC,도착,부정기,화물,0,0,0,72250,0,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,963,0,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,429857,153633,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ATL,도착,부정기,화물,0,0,0,338352,124790,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,481825,277105,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ATL,출발,부정기,화물,0,0,0,645756,4441,0,0
Jan-22,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,1058,14,516,427402,99658,31939,35956
Jan-22,AAR,OZ,아시아나항공,국제,BKK,도착,부정기,화물,0,0,0,94724,0,2657,0
