년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2023-01,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,5481,36,1287,9718,0,9495,184185
2023-01,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,5985,34,1310,276952,0,17584,162516
2023-01,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,1195,6,0,0,0,0,6765
2023-01,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,954,7,606,4445,4244,0,26834
2023-01,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,1047,5,397,71135,52559,0,33231
2023-01,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,133612,68965,0,0
2023-01,AAR,OZ,아시아나항공,국제,ANC,도착,부정기,화물,0,0,0,169342,44792,0,0
2023-01,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,425,230,0,0
2023-01,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,748649,293124,0,0
2023-01,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,262820,123043,0,0
2023-01,AAR,OZ,아시아나항공,국제,BCN,도착,정기,여객,2289,1,137,66591,11525,0,43785
2023-01,AAR,OZ,아시아나항공,국제,BCN,출발,정기,여객,2435,3,154,36488,19902,0,39780
2023-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,10852,39,2791,268995,77265,0,254652
2023-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,12041,62,2630,52995,17668,0,289025
2023-01,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,1000544,92589,0,0
2023-01,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,3450,2851,0,0
2023-01,AAR,OZ,아시아나항공,국제,CAI,도착,부정기,여객,877,0,0,0,0,0,14813
2023-01,AAR,OZ,아시아나항공,국제,CAI,출발,부정기,여객,1177,0,0,0,0,0,19289
2023-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,983075,838347,7258,0
2023-01,AAR,OZ,아시아나항공,국제,CDG,도착,정기,여객,5209,13,661,178834,33565,0,114729
2023-01,AAR,OZ,아시아나항공,국제,CDG,출발,정기,여객,5336,7,753,133951,87122,3955,107706
2023-01,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,6041,23,567,216629,141182,6322,112002
2023-01,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,7198,26,473,158166,39094,0,177230
2023-01,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,1521,8,233,0,0,0,32626
2023-01,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,2658,10,117,0,0,0,54481
2023-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,화물,0,0,0,68802,37733,0,0
2023-01,AAR,OZ,아시아나항공,국제,CKG,도착,부정기,화물,0,0,0,46084,13596,0,0
2023-01,AAR,OZ,아시아나항공,국제,CKG,출발,부정기,화물,0,0,0,20927,318,0,0
2023-01,AAR,OZ,아시아나항공,국제,CTS,도착,정기,여객,2856,4,151,0,0,0,39777
2023-01,AAR,OZ,아시아나항공,국제,CTS,출발,정기,여객,3270,3,188,0,0,0,37633
2023-01,AAR,OZ,아시아나항공,국제,CTU,도착,정기,여객,366,3,133,471,0,353,10673
2023-01,AAR,OZ,아시아나항공,국제,CTU,출발,정기,여객,403,1,207,0,0,0,14780
2023-01,AAR,OZ,아시아나항공,국제,DAD,도착,정기,여객,1672,8,504,2001,1755,0,41415
2023-01,AAR,OZ,아시아나항공,국제,DAD,출발,정기,여객,1503,10,1060,42,42,0,62406
2023-01,AAR,OZ,아시아나항공,국제,DEL,도착,정기,여객,1043,2,1044,30821,2464,0,55742
2023-01,AAR,OZ,아시아나항공,국제,DEL,출발,정기,여객,1318,3,274,34540,16113,0,30295
