년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,HRB,출발,정기,여객,30,4162,12,482,0,0,0,76572
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,NKG,도착,정기,여객,20,2181,8,812,1026,6579,0,46186
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,NKG,출발,정기,여객,20,2513,10,337,757,32,0,42067
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,PEK,도착,정기,여객,88,10389,29,5933,75436,163493,7215,260693
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,PEK,출발,정기,여객,88,12368,27,2858,75918,42376,2519,229357
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,PVG,도착,정기,화물,36,0,0,0,811783,2089862,210,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,PVG,도착,정기,여객,120,17200,33,6507,98058,271102,222,348646
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,PVG,출발,정기,화물,37,0,0,0,1024131,628929,0,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,PVG,출발,정기,여객,120,17900,39,3888,56738,94133,0,290496
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,SZX,도착,정기,여객,28,4028,14,324,884,3172,0,57900
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,SZX,출발,정기,여객,28,3740,16,280,2192,87,0,48021
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,TSN,도착,정기,화물,20,0,0,0,89308,278287,206142,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,TSN,도착,정기,여객,31,3413,6,984,0,0,0,62337
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,TSN,출발,정기,화물,20,0,0,0,148051,144424,0,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,TSN,출발,정기,여객,31,2968,3,720,2482,785,0,53980
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,TSN,출발,부정기,여객,1,0,0,0,0,0,0,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,XIY,도착,정기,여객,20,1779,4,609,4640,5985,0,34663
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,XIY,출발,정기,여객,20,2165,13,446,310,2853,0,36366
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,YNJ,도착,정기,여객,25,3590,13,464,0,0,10377,66711
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,YNJ,출발,정기,여객,25,3997,12,231,0,0,0,61986
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,YNT,도착,정기,화물,12,0,0,0,121004,243201,0,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,YNT,출발,정기,화물,12,0,0,0,46601,30921,0,0
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,YNZ,도착,정기,여객,8,721,4,19,0,0,0,12173
2025,01,AAR,OZ,아시아나항공,국제,중국,중국,YNZ,출발,정기,여객,8,680,2,21,0,0,0,11962
2025,01,AAR,OZ,아시아나항공,국제,동북아,대만,TPE,도착,정기,여객,62,22582,49,1209,314602,110084,0,302669
2025,01,AAR,OZ,아시아나항공,국제,동북아,대만,TPE,출발,정기,여객,62,23161,65,423,292273,37114,0,270827
2025,01,AAR,OZ,아시아나항공,국제,동북아,홍콩,HKG,도착,정기,화물,27,0,0,0,341135,3557419,0,0
2025,01,AAR,OZ,아시아나항공,국제,동북아,홍콩,HKG,도착,정기,여객,62,15531,41,1636,272217,314707,0,220345
2025,01,AAR,OZ,아시아나항공,국제,동북아,홍콩,HKG,출발,정기,화물,26,0,0,0,562440,135846,35057,0
2025,01,AAR,OZ,아시아나항공,국제,동북아,홍콩,HKG,출발,정기,여객,62,15377,37,1204,105693,49047,13943,214217
2025,01,AAR,OZ,아시아나항공,국제,동북아,몽골,UBN,도착,정기,여객,14,1668,10,448,51,52,0,45726
2025,01,AAR,OZ,아시아나항공,국제,동북아,몽골,UBN,출발,정기,여객,14,1659,16,648,34,6,0,66668
2025,01,AAR,OZ,아시아나항공,국제,동남아,말레이시아,BKI,도착,부정기,여객,31,5388,13,158,0,0,0,75568
2025,01,AAR,OZ,아시아나항공,국제,동남아,말레이시아,BKI,출발,부정기,여객,31,5471,13,71,0,0,0,68619
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,CXR,도착,부정기,여객,31,5653,15,7,0,0,0,75753
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,CXR,출발,부정기,여객,31,5682,15,3,0,0,0,60232
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,DAD,도착,정기,여객,31,7523,31,638,62286,10141,0,119480
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,DAD,도착,부정기,여객,1,189,1,10,5788,0,0,3226
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,DAD,출발,정기,여객,31,7341,32,1673,783,16491,0,149532
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,도착,정기,화물,55,0,0,0,431036,904145,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,도착,정기,여객,62,14579,66,792,176795,247603,0,251041
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,출발,정기,화물,55,0,0,0,2096745,592963,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,출발,정기,여객,62,16735,171,1422,103790,132445,2760,385036
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,SGN,도착,정기,화물,4,0,0,0,208285,87960,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,SGN,도착,정기,여객,62,11573,62,2651,166403,125814,0,291544
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,SGN,출발,정기,화물,4,0,0,0,2921,36289,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,베트남,SGN,출발,정기,여객,62,12649,202,5550,187594,96660,3542,485255
2025,01,AAR,OZ,아시아나항공,국제,동남아,싱가포르,SIN,도착,정기,화물,4,0,0,0,212459,86064,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,싱가포르,SIN,도착,정기,여객,62,12813,32,1057,343297,16398,7563,190891
2025,01,AAR,OZ,아시아나항공,국제,동남아,싱가포르,SIN,출발,정기,화물,4,0,0,0,188812,332037,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,싱가포르,SIN,출발,정기,여객,62,15650,42,1638,268199,117724,9465,254034
2025,01,AAR,OZ,아시아나항공,국제,동남아,인도네시아,CGK,도착,정기,여객,31,6343,24,648,76931,99902,4302,113779
2025,01,AAR,OZ,아시아나항공,국제,동남아,인도네시아,CGK,출발,정기,여객,31,7913,22,894,124225,77801,0,186074
2025,01,AAR,OZ,아시아나항공,국제,동남아,캄보디아,PNH,도착,정기,여객,31,3739,23,905,12818,5302,0,85311
2025,01,AAR,OZ,아시아나항공,국제,동남아,캄보디아,PNH,출발,정기,여객,31,4420,29,982,4755,728,0,119805
